date,runtype,distance,duration,pace,elevation,calories,hr,eventtype
2019-09-28,running,7.71,2595.13,5.64,69.0,532.0,143.0,uncategorized
2019-09-29,running,14.16,5231.84,6.18,132.0,917.0,136.0,uncategorized
2019-10-03,treadmill_running,5.03,1787.67,5.94,0,320.0,132.0,uncategorized
2019-10-04,treadmill_running,7.56,2693.76,5.95,0,525.0,140.0,uncategorized
2019-10-05,treadmill_running,5.13,1797.87,5.85,0,405.0,154.0,uncategorized
2019-10-06,treadmill_running,8.1,2994.71,6.19,0,574.0,138.0,uncategorized
2019-10-07,treadmill_running,8.18,2996.11,6.11,0,525.0,133.0,uncategorized
2019-10-12,running,7.68,2924.52,6.37,71.0,521.0,133.0,uncategorized
2019-10-15,running,10.61,3601.81,5.68,87.0,744.0,146.0,uncategorized
2019-10-17,running,7.15,2361.89,5.53,56.0,503.0,149.0,uncategorized
2019-10-20,running,7.3,2432.06,5.57,52.0,537.0,152.0,uncategorized
2019-10-21,running,7.27,2546.29,5.85,54.0,526.0,144.0,uncategorized
2019-10-22,running,7.31,2467.8,5.64,51.0,520.0,145.0,uncategorized
2019-10-24,running,7.27,2481.17,5.72,57.0,534.0,147.0,uncategorized
2019-10-25,running,7.26,2422.09,5.58,52.0,525.0,149.0,uncategorized
2019-10-27,running,14.01,4912.15,5.86,111.0,976.0,143.0,uncategorized
2019-10-29,treadmill_running,8.01,2812.24,5.87,0,553.0,139.0,uncategorized
2019-10-30,treadmill_running,8.01,2794.56,5.83,0,523.0,136.0,uncategorized
2019-10-31,treadmill_running,6.01,2075.03,5.77,0,394.0,136.0,uncategorized
2019-11-02,treadmill_running,8.01,2796.83,5.83,0,584.0,145.0,uncategorized
2019-11-03,treadmill_running,5.1,1799.95,5.89,0,344.0,136.0,uncategorized
2019-11-04,treadmill_running,8.01,2844.08,5.93,0,569.0,141.0,uncategorized
2019-11-06,treadmill_running,8.01,2838.36,5.92,0,545.0,138.0,uncategorized
2019-11-10,running,8.46,3010.7,5.95,79.0,624.0,145.0,uncategorized
2019-11-12,running,7.28,2493.1,5.74,57.0,510.0,143.0,uncategorized
2019-11-14,running,8.0,2712.27,5.67,80.0,583.0,148.0,uncategorized
2019-11-18,running,8.01,2686.63,5.62,72.0,495.0,134.0,uncategorized
2019-11-20,treadmill_running,6.07,2079.51,5.73,0,384.0,134.0,uncategorized
2019-11-21,treadmill_running,7.0,2428.35,5.79,0,483.0,139.0,uncategorized
2019-11-23,treadmill_running,8.68,2996.53,5.76,0,612.0,142.0,uncategorized
2019-11-25,running,7.3,2385.83,5.47,64.0,505.0,145.0,uncategorized
2019-11-27,running,8.01,2679.79,5.59,54.0,536.0,139.0,uncategorized
2019-11-30,running,7.51,2565.56,5.72,59.0,540.0,144.0,uncategorized
2019-12-02,running,8.01,2784.9,5.82,70.0,524.0,134.0,uncategorized
2019-12-04,running,8.01,2714.06,5.67,64.0,551.0,140.0,uncategorized
2019-12-05,running,5.02,1706.72,5.68,28.0,364.0,144.0,uncategorized
2019-12-07,running,10.57,3592.5,5.69,67.0,688.0,139.0,uncategorized
2019-12-10,treadmill_running,7.26,2459.1,5.66,0,408.0,128.0,uncategorized
